City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,Port Elizabeth,-33.918,25.5701,63.32,80,0,10.36,ZA,2022-11-17 01:34:24
188,Mungwi,-10.1732,31.3694,63.88,84,43,3.36,ZM,2022-11-17 01:34:18
189,Faanui,-16.4833,-151.75,79.66,72,93,1.34,PF,2022-11-17 01:34:24
190,Marystown,47.1666,-55.1483,36.81,74,100,6.22,CA,2022-11-17 01:34:25
191,Yabelo,4.8833,38.0833,59.07,64,61,8.5,ET,2022-11-17 01:34:25
192,Manaus,-3.1019,-60.025,82.9,94,0,3.44,BR,2022-11-17 01:32:48
193,Tommot,58.9564,126.2925,4.59,96,100,2.13,RU,2022-11-17 01:34:27
194,Pangai,-19.8,-174.35,80.71,69,20,3.44,TO,2022-11-17 01:34:29
195,San Policarpo,12.1791,125.5072,82.2,84,100,11.86,PH,2022-11-17 01:34:31
196,Najran,17.4924,44.1277,59.65,34,14,0.49,SA,2022-11-17 01:34:32
197,Silver City,32.7701,-108.2803,42.91,52,0,6.91,US,2022-11-17 01:34:10
198,Olafsvik,64.8945,-23.7142,44.31,74,72,22.1,IS,2022-11-17 01:31:49
199,Bulgan,48.8125,103.5347,24.91,43,16,3.18,MN,2022-11-17 01:34:36
200,Yellowknife,62.456,-114.3525,1.92,92,75,2.3,CA,2022-11-17 01:34:37
201,Bonavista,48.6499,-53.1147,33.82,65,98,3.94,CA,2022-11-17 01:34:39
202,Rafraf,37.1904,10.1837,62.91,76,87,16.55,TN,2022-11-17 01:34:39
203,Urucui,-7.2294,-44.5561,78.57,49,7,0.92,BR,2022-11-17 01:34:39
204,Belmonte,-15.8631,-38.8828,75.29,92,99,7.54,BR,2022-11-17 01:34:40
205,Dunedin,-45.8742,170.5036,55.8,99,100,4.47,NZ,2022-11-17 01:32:27
206,Mpongwe,-13.5091,28.155,62.13,91,16,2.13,ZM,2022-11-17 01:34:18
207,Ngaoundere,7.3167,13.5833,64.87,46,23,3.69,CM,2022-11-17 01:34:40
208,Gizo,-8.103,156.8419,84.6,65,74,3.74,SB,2022-11-17 01:34:40
209,Jumla,29.2747,82.1838,42.35,45,2,2.66,NP,2022-11-17 01:34:41
210,Lavrentiya,65.5833,-171.0,33.51,96,100,14.25,RU,2022-11-17 01:34:41
211,Yakeshi,49.2833,120.7333,24.62,75,50,8.12,CN,2022-11-17 01:34:42
212,Umm Kaddadah,13.6017,26.6876,65.89,28,51,12.08,SD,2022-11-17 01:34:42
213,Airai,-8.9266,125.4092,74.59,54,63,2.06,TL,2022-11-17 01:34:42
214,Bintulu,3.1667,113.0333,81.01,94,40,3.44,MY,2022-11-17 01:34:43
215,Cabedelo,-6.9811,-34.8339,79.47,77,1,8.28,BR,2022-11-17 01:33:43
216,Linfen,36.0889,111.5189,54.55,41,0,3.78,CN,2022-11-17 01:34:43
217,Balikpapan,-1.2675,116.8289,81.59,89,40,3.44,ID,2022-11-17 01:34:44
218,Puerto Ayora,-0.7393,-90.3518,70.56,90,100,5.99,EC,2022-11-17 01:34:44
219,Thinadhoo,0.5333,72.9333,81.21,71,97,11.21,MV,2022-11-17 01:34:44
220,Port Macquarie,-31.4333,152.9167,68.9,49,40,15.86,AU,2022-11-17 01:31:38
221,Iisalmi,63.5592,27.1907,27.23,95,99,2.53,FI,2022-11-17 01:34:45
222,Mnogovershinnyy,53.9353,139.9242,14.9,85,47,4.76,RU,2022-11-17 01:34:45
223,Hua Hin,12.5707,99.9588,78.82,89,20,0.0,TH,2022-11-17 01:30:26
224,Beloha,-25.1667,45.05,65.19,89,0,4.74,MG,2022-11-17 01:34:46
225,Ancud,-41.8697,-73.8203,53.11,93,23,5.53,CL,2022-11-17 01:34:46
226,Dukat,62.55,155.55,-22.81,95,12,2.66,RU,2022-11-17 01:34:46
227,Ust-Nera,64.5667,143.2,-7.96,96,100,2.57,RU,2022-11-17 01:34:47
228,Sakakah,29.9697,40.2064,62.17,57,100,5.75,SA,2022-11-17 01:34:47
229,Forio,40.7342,13.8646,64.81,72,1,12.46,IT,2022-11-17 01:34:47
230,Hamilton,39.1834,-84.5333,33.94,82,100,13.8,US,2022-11-17 01:35:48
231,Fomboni,-12.28,43.7425,78.76,75,13,9.06,KM,2022-11-17 01:35:48
232,Dong Hoi,17.4833,106.6,79.99,80,24,2.28,VN,2022-11-17 01:35:48
233,Colares,38.7992,-9.4469,66.33,97,100,18.01,PT,2022-11-17 01:35:49
234,Tanout,14.9709,8.8879,65.5,26,30,10.36,NE,2022-11-17 01:35:49
235,Ambon,-3.6954,128.1814,86.14,66,40,2.3,ID,2022-11-17 01:35:49
236,Saint George,37.1041,-113.5841,46.99,34,0,5.75,US,2022-11-17 01:31:02
237,Buin,-33.7333,-70.75,76.42,53,38,2.26,CL,2022-11-17 01:35:50
238,Ust-Kan,50.9276,84.761,7.23,88,97,7.16,RU,2022-11-17 01:35:50
239,Codrington,-38.2667,141.9667,58.89,65,81,10.54,AU,2022-11-17 01:35:51
240,Arman,59.7,150.1667,3.02,84,100,8.59,RU,2022-11-17 01:35:51
